0.68952,0.21039,0.00000,0.01004
0.69459,0.21906,0.07037,0.01004
0.69966,0.22772,0.20922,0.01129
0.70534,0.23748,0.29069,0.01075
0.71071,0.24679,0.29131,0.01081
0.71609,0.25617,0.26833,0.01086
0.72146,0.26561,0.26427,0.01092
0.72683,0.27511,0.26029,0.01097
0.73220,0.28467,0.25638,0.01103
0.73757,0.29430,0.25254,0.01108
0.74295,0.30400,0.24877,0.01114
0.74832,0.31375,0.24507,0.01119
0.75369,0.32357,0.24144,0.01125
0.75906,0.33345,0.26202,0.01130
0.76444,0.34340,0.22457,0.01667
0.77231,0.35810,0.20318,0.01642
0.78002,0.37260,0.22066,0.01657
0.78774,0.38726,0.21654,0.01671
0.79547,0.40207,0.21215,0.01685
0.80322,0.41703,0.20786,0.01700
0.81098,0.43215,0.20367,0.01714
0.81875,0.44743,0.19958,0.01729
0.82654,0.46287,0.19558,0.01743
0.83434,0.47846,0.19168,0.01758
0.84215,0.49421,0.18787,0.01773
0.84998,0.51012,0.18414,0.01788
0.85782,0.52619,0.18051,0.01803
0.86567,0.54242,0.17695,0.01818
0.87353,0.55881,0.17348,0.01833
0.88141,0.57536,0.17008,0.01848
0.88930,0.59208,0.16676,0.01864
0.89721,0.60895,0.16352,0.01879
0.90513,0.62600,0.16035,0.01895
0.91306,0.64320,0.15726,0.01910
0.92100,0.66057,0.15423,0.01926
0.92896,0.67811,0.15127,0.01942
0.93693,0.69582,0.14838,0.01957
0.94492,0.71369,0.14556,0.01973
0.95292,0.73173,0.12509,0.01989
0.96093,0.74993,0.14070,0.01001
0.96494,0.75910,0.17365,0.01005
0.96895,0.76831,0.13745,0.01009
0.97297,0.77756,0.13615,0.01013
0.97699,0.78686,0.13486,0.01017
0.98101,0.79620,0.13359,0.01021
0.98504,0.80558,0.13234,0.01025
0.98907,0.81500,0.13109,0.01029
0.99310,0.82447,0.12987,0.01033
0.99714,0.83398,0.12865,0.01037
1.00118,0.84353,0.12745,0.01041
1.00522,0.85313,0.12626,0.01045
1.00927,0.86276,0.12509,0.01050
1.01332,0.87245,0.12392,0.01054
1.01737,0.88217,0.12278,0.01058
1.02143,0.89194,0.12164,0.01062
1.02549,0.90176,0.12051,0.01066
1.02955,0.91161,0.11940,0.01070
1.03362,0.92151,0.11830,0.01075
1.03769,0.93146,0.11721,0.01079
1.04176,0.94145,0.11614,0.01083
1.04584,0.95148,0.11507,0.01087
1.04992,0.96156,0.11402,0.01091
1.05400,0.97168,0.11298,0.01096
1.05809,0.98184,0.11195,0.01100
1.06218,0.99205,0.11093,0.01104
1.06627,1.00231,0.10992,0.01108
1.07037,1.01261,0.10893,0.01113
1.07447,1.02295,0.10794,0.01117
1.07857,1.03334,0.10696,0.01121
1.08268,1.04378,0.10600,0.01126
1.08679,1.05425,0.10504,0.01130
1.09090,1.06478,0.10410,0.01134
1.09502,1.07535,0.10316,0.01139
1.09914,1.08596,0.10224,0.01143
1.10326,1.09662,0.10132,0.01147
1.10739,1.10733,0.10042,0.01152
1.11152,1.11808,0.09952,0.01156
1.11565,1.12888,0.09864,0.01160
1.11979,1.13972,0.09776,0.01165
1.12392,1.15061,0.09689,0.01169
1.12807,1.16154,0.09604,0.01174
1.13221,1.17252,0.09519,0.01178
1.13636,1.18355,0.09435,0.01183
1.14052,1.19462,0.09352,0.01187
1.14467,1.20574,0.09269,0.01191
1.14883,1.21690,0.09188,0.01196
1.15299,1.22811,0.09107,0.01200
1.15716,1.23937,0.09028,0.01205
1.16133,1.25067,0.08949,0.01209
1.16550,1.26203,0.09779,0.01214
1.16968,1.27342,0.08742,0.01749
1.17567,1.28985,0.08088,0.01756
1.18167,1.30636,0.08695,0.01764
1.18766,1.32295,0.08482,0.01771
1.19366,1.33961,0.08253,0.01788
1.19968,1.35644,0.08254,0.01795
1.20571,1.37335,0.08273,0.01803
1.21174,1.39034,0.08073,0.01810
1.21776,1.40741,0.07857,0.01827
1.22382,1.42465,0.07857,0.01835
1.22988,1.44196,0.07875,0.01842
1.23594,1.45936,0.07686,0.01850
1.24200,1.47684,0.07483,0.01867
1.24809,1.49449,0.07483,0.01875
1.25418,1.51222,0.07499,0.01882
1.26027,1.53003,0.07322,0.01890
1.26636,1.54792,0.07130,0.01907
1.27249,1.56599,0.07129,0.01915
1.27861,1.58413,0.07144,0.01923
1.28473,1.60236,0.06977,0.01931
1.29086,1.62068,0.06797,0.01949
1.29701,1.63916,0.06795,0.01956
1.30317,1.65774,0.06809,0.01964
1.30932,1.67639,0.06470,0.01972
1.31548,1.69513,0.06476,0.01769
1.32097,1.71194,0.06678,0.01775
1.32647,1.72881,0.06510,0.01781
1.33197,1.74576,0.06400,0.01788
1.33747,1.76276,0.06244,0.01798
1.34299,1.77988,0.06172,0.01809
1.34852,1.79711,0.06195,0.01816
1.35405,1.81441,0.06177,0.01822
1.35957,1.83177,0.06036,0.01829
1.36510,1.84920,0.05883,0.01844
1.37066,1.86678,0.05898,0.01851
1.37622,1.88444,0.05926,0.01857
1.38177,1.90216,0.05828,0.01864
1.38733,1.91995,0.05689,0.01875
1.39290,1.93785,0.05624,0.01886
1.39849,1.95586,0.05644,0.01893
1.40407,1.97394,0.04228,0.00000
1.40966,1.99209,0.02804,0.01899
