0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.346651825433925753e-02,7.618896020070533345e-04,2.395211945022844915e-02
1.269330365086785151e-01,3.032327349121680376e-03,4.752592083470742745e-02
1.903995547630177865e-01,6.785228109390487039e-03,7.065036954938806735e-02
2.538660730173570301e-01,1.198955980239422604e-02,9.325579665889788261e-02
3.173325912716962738e-01,1.861005086146914206e-02,1.152743588024773003e-01
3.807991095260355729e-01,2.660742647092700225e-02,1.366401273424487917e-01
4.442656277803748166e-01,3.593840856605511058e-02,1.572890883642167337e-01
5.077321460347140603e-01,4.655571583311630263e-02,1.771591426762677834e-01
5.711986642890533039e-01,5.840806370934895075e-02,1.961901058101705730e-01
6.346651825433925476e-01,7.144016438296693638e-02,2.143237080205756817e-01
6.981317007977317912e-01,8.559296210342118294e-02,2.315033912971049268e-01
7.615982190520711459e-01,1.008043769307635229e-01,2.476740523670450667e-01
8.250647373064103896e-01,1.170086074169738588e-01,2.627821335315251305e-01
8.885312555607496332e-01,1.341365064092858717e-01,2.767745434265358462e-01
9.519977738150888769e-01,1.521156196481903977e-01,2.895986026846031347e-01
1.015464292069428121e+00,1.708701857674356228e-01,3.012020439347885548e-01
1.078930810323767364e+00,1.903211542312853166e-01,3.115329953813001929e-01
1.142397328578106608e+00,2.103861346854943859e-01,3.205395651209139163e-01
1.205863846832445851e+00,2.309792674548881430e-01,3.281697386252934723e-01
1.269330365086785095e+00,2.520114972931970510e-01,3.343717436057546122e-01
1.332796883341124339e+00,2.733905988739283588e-01,3.390940680403405350e-01
1.396263401595463582e+00,2.950211824687851148e-01,3.422855057283241131e-01
1.459729919849802826e+00,3.168046190606942369e-01,3.438964750467815024e-01
1.523196438104142292e+00,3.386387530423655701e-01,3.438791363475727780e-01
1.586662956358481535e+00,3.604187776418871225e-01,3.421893259697465495e-01
1.650129474612820779e+00,3.820374264828230171e-01,3.387872393092190570e-01
1.713595992867160023e+00,4.033850716987210649e-01,3.336378061507302983e-01
1.777062511121499266e+00,4.243498807984438792e-01,3.267134853477385303e-01
1.840529029375838510e+00,4.448180185403869391e-01,3.179951499541844306e-01
1.903995547630177754e+00,4.646755086328636652e-01,3.074750945273453384e-01
1.967462065884516997e+00,4.838084066930454785e-01,2.951574128108845896e-01
2.030928584138856241e+00,5.021031702147369380e-01,2.810589813303893125e-01
2.094395102393195707e+00,5.194474105806239361e-01,2.652130189546740291e-01
2.157861620647534728e+00,5.357314337295383533e-01,2.476693181155567025e-01
2.221328138901874194e+00,5.508499665277047930e-01,2.284954897693254883e-01
2.284794657156213216e+00,5.647023054368184303e-01,2.077770309984109109e-01
2.348261175410552681e+00,5.771935176113894839e-01,1.856184193428304097e-01
2.411727693664891703e+00,5.882356106616202229e-01,1.621430522323301093e-01
2.475194211919231169e+00,5.977496463390795656e-01,1.374910821629846680e-01
2.538660730173570190e+00,6.056660435629473982e-01,1.118191654371547689e-01
2.602127248427909656e+00,6.119253772285824233e-01,8.529871442268022186e-02
2.665593766682248678e+00,6.164793354241731027e-01,5.811430423731962086e-02
2.729060284936588143e+00,6.192918906866633488e-01,3.045828069967992935e-02
2.792526803190927165e+00,6.203395657359402904e-01,2.529579237394417607e-03
2.855993321445266631e+00,6.196114554617545567e-01,-2.546916064854962136e-02
2.919459839699605652e+00,6.171095978465569454e-01,-5.333484288302048348e-02
2.982926357953945118e+00,6.128486062508555765e-01,-8.086959420666901821e-02
3.046392876208284584e+00,6.068555001840721941e-01,-1.078830973923206316e-01
3.109859394462623605e+00,5.991693241012624460e-01,-1.341937371887688413e-01
3.173325912716963071e+00,5.898402379664526851e-01,-1.596329119148401920e-01
